Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4647,0,0,118,1,0,0,0,0,0,16,0,0,0,0
DDoS_HTTP,0,8077,0,0,0,0,0,0,0,0,0,0,0,793,758
DDoS_ICMP,0,0,13441,0,3,57,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,22,0,0,25,0,98,0,0,0,0,0,1,0,0,0
MITM,7,0,0,0,0,0,55,0,0,9,0,5,0,0,0
Normal,0,0,0,0,0,0,0,272769,0,7,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,8182,0,0,809,1117,0,0
Port_Scanning,0,0,0,2575,0,0,0,0,0,1487,0,0,0,0,0
Ransomware,1037,0,0,66,0,0,0,0,0,0,822,1,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,7454,0,0,1129,839,649,0
Uploading,0,5,0,0,0,0,0,0,3218,0,0,540,3510,0,0
Vulnerability_scanner,0,1182,0,0,0,0,0,0,0,0,0,0,0,8007,751
XSS,0,1684,0,0,0,0,0,0,0,0,0,0,0,182,1169
