Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4461,56,0,0,0,15,2,11,28,65,24,18,78,11,13
DDoS_HTTP,207,6931,0,0,0,178,2,174,421,0,175,661,465,121,293
DDoS_ICMP,0,0,13499,0,0,1,1,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,2,8,0,0,0,103,0,2,2,19,3,2,4,1,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,872,4394,0,0,0,691,7,236026,7079,2,595,9615,3642,883,8970
Password,76,421,0,0,0,63,0,348,7764,0,69,581,249,53,484
Port_Scanning,44,0,0,4,0,71,8,0,0,3582,36,1,293,1,22
Ransomware,17,43,0,0,0,10,0,2,13,38,1724,14,53,3,9
SQL_injection,78,836,0,0,0,64,3,364,430,0,55,7293,229,82,637
Uploading,223,511,0,0,0,129,4,207,317,467,183,356,4384,41,451
Vulnerability_scanner,9,126,0,0,0,5,0,48,48,0,6,94,50,9461,93
XSS,28,95,0,0,0,14,0,95,117,0,16,156,76,17,2421
