Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4353,180,0,81,1,0,0,0,18,0,0,52,87,10,0
DDoS_HTTP,194,5817,0,0,1,0,0,0,3,1,110,3493,6,3,0
DDoS_ICMP,0,0,13483,0,6,12,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,1,0,10007,0,0,0,0,0,0,0,0,1,0,0
DDoS_UDP,0,0,0,0,24600,0,0,1,0,0,0,0,0,0,0
Fingerprinting,0,25,61,23,5,32,0,0,0,0,0,0,0,0,0
MITM,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0
Normal,15898,27967,7,20,2,0,1,86143,98,0,4986,137615,23,16,0
Password,273,897,0,0,0,0,0,2,1553,0,190,6984,0,209,0
Port_Scanning,0,9,0,2030,0,0,0,0,0,2022,0,0,1,0,0
Ransomware,8,103,0,47,0,0,0,0,0,0,1661,43,64,0,0
SQL_injection,257,830,0,0,0,0,0,3,2,0,210,8767,0,2,0
Uploading,120,1418,0,592,0,0,0,3,136,0,77,3443,1461,23,0
Vulnerability_scanner,64,173,0,0,0,0,0,1,123,0,42,1337,7,8190,3
XSS,108,331,0,0,0,0,0,2,2,0,54,2115,270,3,150
