Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4453,0,0,6,1,169,0,0,0,76,77,0,0,0,0
DDoS_HTTP,0,7504,0,0,0,0,0,0,0,0,0,0,0,4,2120
DDoS_ICMP,0,0,13419,0,1,81,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,6302,0,0,0,0,0,3707,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,0,0,0,1,0,122,0,0,0,22,1,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,10,0,0,0,0,47,0,272719,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,5242,0,0,3938,928,0,0
Port_Scanning,0,0,0,230,0,5,0,0,0,3827,0,0,0,0,0
Ransomware,1,0,0,6,0,104,0,0,0,40,1775,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,3429,0,0,5824,818,0,0
Uploading,0,0,0,0,0,0,0,0,1704,0,0,2025,3544,0,0
Vulnerability_scanner,1,658,1,0,0,0,0,0,2,0,0,0,1,8365,912
XSS,0,979,0,0,0,0,0,0,0,0,0,0,0,135,1921
