Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,1595,0,0,0,0,0,2160,0,0,329,698,0,0,0,0
DDoS_HTTP,0,3278,0,0,0,0,0,0,0,2499,0,0,0,16,3835
DDoS_ICMP,0,0,7566,0,0,5607,138,0,0,190,0,0,0,0,0
DDoS_TCP,0,0,0,5816,0,0,0,0,0,4193,0,0,0,0,0
DDoS_UDP,0,0,0,0,24346,0,48,0,0,207,0,0,0,0,0
Fingerprinting,1,0,0,0,0,62,9,0,0,74,0,0,0,0,0
MITM,0,33,0,1,9,0,29,0,0,4,0,0,0,0,0
Normal,7,0,0,0,0,0,39,272730,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,3058,893,0,2583,3574,0,0
Port_Scanning,0,0,0,0,0,0,0,0,0,4062,0,0,0,0,0
Ransomware,892,0,0,0,0,0,574,0,0,213,247,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,2269,816,0,3767,3219,0,0
Uploading,0,148,0,0,0,1,0,0,757,1413,0,1169,3785,0,0
Vulnerability_scanner,0,12,0,0,0,0,0,0,0,86,1,0,0,4260,5581
XSS,0,6,0,0,0,0,0,0,0,242,0,0,0,24,2763
