Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4682,0,0,0,1,0,0,0,0,81,14,0,0,4,0
DDoS_HTTP,0,9337,0,0,0,0,0,0,0,0,0,0,0,34,257
DDoS_ICMP,0,0,13451,0,4,46,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,24,0,17,0,1,81,0,0,0,23,0,0,0,0,0
MITM,0,0,0,0,0,0,71,0,0,0,0,0,5,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,0,0,0,0,0,0,0,9208,0,0,7,893,0,0
Port_Scanning,0,0,0,0,0,0,0,0,0,4061,1,0,0,0,0
Ransomware,172,0,0,0,1,0,0,0,0,45,1708,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,1709,0,0,7546,816,0,0
Uploading,0,2,0,0,0,0,0,0,780,0,1,0,6490,0,0
Vulnerability_scanner,0,344,0,0,0,0,0,0,0,0,0,0,0,9475,121
XSS,0,506,0,0,0,0,0,0,0,0,0,0,0,16,2513
