Actual,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,4570,0,0,0,1,49,0,0,0,97,65,0,0,0,0
DDoS_HTTP,0,9120,0,0,0,0,0,0,0,0,0,0,0,50,458
DDoS_ICMP,0,0,13429,0,1,71,0,0,0,0,0,0,0,0,0
DDoS_TCP,0,0,0,10009,0,0,0,0,0,0,0,0,0,0,0
DDoS_UDP,0,0,0,0,24601,0,0,0,0,0,0,0,0,0,0
Fingerprinting,9,0,1,0,0,109,0,0,0,23,4,0,0,0,0
MITM,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Normal,0,0,0,0,0,0,0,272776,0,0,0,0,0,0,0
Password,0,853,0,0,0,0,0,0,7918,0,0,1251,86,0,0
Port_Scanning,1,0,0,0,0,0,0,0,0,4061,0,0,0,0,0
Ransomware,72,0,1,0,0,38,0,0,0,58,1757,0,0,0,0
SQL_injection,0,1281,0,0,0,0,0,0,499,0,0,8221,70,0,0
Uploading,0,1288,0,0,0,0,0,0,226,0,0,548,5211,0,0
Vulnerability_scanner,0,221,0,0,0,0,0,0,0,0,0,0,0,9488,231
XSS,0,243,0,0,0,0,0,0,0,0,0,0,0,9,2783
